LAMMPS (11 Feb 2026 - Development - patch_11Feb2026-99-gb75dfcc930-modified)
/home/akinyemi.az/miniforge3/envs/mace-lammps/lib/python3.11/site-packages/e3nn/o3/_wigner.py:10: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  _Jd, _W3j_flat, _W3j_indices = torch.load(os.path.join(os.path.dirname(__file__), 'constants.pt'))
KOKKOS mode with Kokkos version 5.0.2 is enabled
  using double precision
  using view layout = legacy
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (25 25 67.55)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  3750 atoms
  read_data CPU = 0.020 seconds
### Minimization ###

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- KOKKOS package: https://doi.org/10.1145/3731599.3767498
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7
  ghost atom cutoff = 7
  binsize = 7, bins = 4 4 10
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mliap/kk, perpetual
      attributes: full, newton on, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up cg/kk style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Energy due to 1 extra global DOFs will be included in minimizer energies
 (src/KOKKOS/min_kokkos.cpp:94)
WARNING: Fix MINIMIZE/kk not compatible with sending data in Kokkos communication (src/KOKKOS/comm_kokkos.cpp:842)
WARNING: Fix with atom-based arrays not compatible with sending data in Kokkos communication, switching to legacy exchange/border communication (src/KOKKOS/comm_kokkos.cpp:849)
WARNING: Fix MINIMIZE/kk not (yet) compatible with Kokkos sorting on device (src/KOKKOS/atom_kokkos.cpp:219)
WARNING: Fix with atom-based arrays not (yet) compatible with Kokkos sorting on device, switching to legacy host sorting (src/KOKKOS/atom_kokkos.cpp:225)
Per MPI rank memory allocation (min/avg/max) = 2632 | 2632 | 2632 Mbytes
   Step         PotEng          Fmax          Fnorm          Press          Volume           Lx             Ly             Lz      
       980  -19642.053      0.28172199     4.156312       39.279169      49149.557      26.299334      26.299334      71.060801    
       990  -19642.309      0.027707744    0.80275286     8.9427995      49160.806      26.30134       26.30134       71.066222    
      1000  -19642.495      0.035690893    0.81113769    -213.79107      49178.282      26.304457      26.304457      71.074642    
      1010  -19642.544      0.25804011     3.6826224     -182.80671      49180.948      26.304932      26.304932      71.075926    
      1020  -19644.247      0.14808142     2.344932      -43.174859      49265.745      26.320041      26.320041      71.116752    
      1030  -19644.339      0.030943622    0.69635665     6.950534       49261.42       26.319271      26.319271      71.114671    
      1040  -19644.372      0.073240005    1.0988265      10.324545      49261.691      26.319319      26.319319      71.114801    
      1050  -19645.148      0.47634661     6.8833055     -38.835052      49312.316      26.328332      26.328332      71.139154    
      1060  -19645.543      0.066304054    1.280667      -9.1434348      49302.241      26.326539      26.326539      71.134309    
      1070  -19645.631      0.08823297     1.3653157     -8.5698152      49305.439      26.327108      26.327108      71.135847    
      1080  -19645.691      0.18459742     2.8047374      5.5413005      49311.735      26.328229      26.328229      71.138875    
      1090  -19645.915      0.29258857     4.8837608     -63.638033      49371.155      26.3388        26.3388        71.167437    
      1100  -19646.563      0.099726224    2.053601      -36.245035      49393.754      26.342818      26.342818      71.178294    
      1110  -19646.568      0.20140698     3.2292846     -38.120815      49392.419      26.342581      26.342581      71.177653    
      1120  -19646.806      0.084655248    1.4821731     -9.3604767      49394.459      26.342943      26.342943      71.178633    
      1130  -19646.877      0.027657593    0.76216649     32.431909      49390.555      26.342249      26.342249      71.176757    
      1140  -19646.877      0.050738141    0.96803573     6.7211407      49391.229      26.342369      26.342369      71.177081    
      1150  -19646.935      0.091325527    1.3886744     -2.0767775      49390.407      26.342223      26.342223      71.176686    
      1160  -19646.978      0.16159135     2.4005284     -6.6029647      49389.312      26.342028      26.342028      71.17616     
      1170  -19646.98       0.22880749     3.3645808     -20.782707      49388.819      26.341941      26.341941      71.175923    
      1180  -19646.984      0.27793728     4.0791531     -24.228248      49388.046      26.341803      26.341803      71.175552    
      1190  -19646.989      0.29622229     4.3669621     -17.424241      49387.054      26.341627      26.341627      71.175075    
      1200  -19646.997      0.24690959     3.7290533     -12.152702      49386.816      26.341584      26.341584      71.174961    
      1210  -19647.002      0.17079414     2.7603367     -14.015983      49387.56       26.341717      26.341717      71.175319    
      1220  -19647.003      0.11934469     2.1301186     -17.194405      49388.36       26.341859      26.341859      71.175703    
      1230  -19647.004      0.080879356    1.698573      -26.725531      49389.42       26.342047      26.342047      71.176212    
      1240  -19647.143      0.25884639     3.8792154      21.746698      49399.017      26.343754      26.343754      71.180822    
      1250  -19647.291      0.061944257    1.5134956      5.03074        49407.715      26.3453        26.3453        71.184999    
      1260  -19647.295      0.047969568    1.2453071     -7.265355       49406.528      26.345089      26.345089      71.184429    
      1270  -19647.296      0.078524596    1.6082459     -12.84284       49405.421      26.344892      26.344892      71.183898    
      1280  -19647.298      0.13082362     2.2536009     -15.746655      49403.511      26.344552      26.344552      71.182981    
      1290  -19647.304      0.16577115     2.8999776      120.93496      49395.168      26.343069      26.343069      71.178973    
      1300  -19647.431      0.071650062    1.6912747     -26.389314      49413.422      26.346314      26.346314      71.18774     
      1310  -19647.433      0.089179444    1.8877136      218.77         49404.641      26.344753      26.344753      71.183523    
      1320  -19647.51       0.02948369     0.59861842    -63.947668      49410.952      26.345875      26.345875      71.186554    
      1330  -19647.528      0.013322247    0.43226271    -14.58298       49409.222      26.345567      26.345567      71.185723    
      1340  -19647.551      0.052414166    0.78761306     2.4837408      49408.955      26.34552       26.34552       71.185595    
      1350  -19647.699      0.041032378    0.83451971     10.310444      49423.174      26.348047      26.348047      71.192423    
      1360  -19647.739      0.084608978    1.2690893      18.656808      49422.867      26.347992      26.347992      71.192276    
      1370  -19647.786      0.076051663    1.1145228      101.73074      49420.527      26.347577      26.347577      71.191152    
      1380  -19647.819      0.053750099    0.77917518    -77.217486      49429.115      26.349103      26.349103      71.195275    
      1390  -19647.825      0.1522494      2.2217192      35.432657      49424.932      26.348359      26.348359      71.193267    
      1400  -19647.89       0.037497923    0.66031053    -5.0048022      49427.623      26.348838      26.348838      71.194559    
      1410  -19648.104      0.10361662     2.4370258      4.7844566      49452.549      26.353266      26.353266      71.206525    
      1420  -19648.161      0.065944867    1.9862267      2.2206669      49480.807      26.358285      26.358285      71.220085    
      1430  -19648.447      0.059391216    1.4610939      7.5664187      49493.292      26.360501      26.360501      71.226075    
      1440  -19648.636      0.12853208     2.1046599      48.928438      49487.6        26.359491      26.359491      71.223344    
      1450  -19648.705      0.012930908    0.30769645    -19.020881      49489.55       26.359837      26.359837      71.22428     
      1460  -19648.708      0.010574297    0.22003813     1.4203425      49487.133      26.359408      26.359408      71.22312     
      1470  -19648.709      0.018578657    0.29870275    -13.119582      49487.038      26.359391      26.359391      71.223075    
      1480  -19648.709      0.039819541    0.62084038     11.077411      49484.74       26.358983      26.358983      71.221972    
      1490  -19648.716      0.0040326762   0.12681459     0.75330857     49484.799      26.358993      26.358993      71.222       
      1500  -19648.717      0.0086804003   0.15851779     2.9021203      49484.795      26.358993      26.358993      71.221998    
      1510  -19648.718      0.010716757    0.18301842     0.036401534    49484.819      26.358997      26.358997      71.22201     
      1520  -19648.732      0.14012967     1.9659768      6.5115254      49474.757      26.35721       26.35721       71.217182    
      1530  -19648.751      0.13064741     1.8052357      133.44934      49452.427      26.353244      26.353244      71.206466    
      1540  -19648.772      0.017817416    0.52967194    -4.9691831      49457.068      26.354069      26.354069      71.208694    
      1550  -19648.785      0.089626568    1.391453       6.3111733      49455.056      26.353711      26.353711      71.207728    
      1560  -19648.823      0.030531143    0.47209154    -3.287319       49456.41       26.353952      26.353952      71.208378    
      1570  -19648.829      0.011926042    0.24947396     4.28913        49456.373      26.353945      26.353945      71.20836     
      1580  -19648.833      0.0057135093   0.16160513    -1.1151521      49457.105      26.354075      26.354075      71.208711    
      1590  -19648.837      0.033690413    0.47090677    -2.8550899      49457.571      26.354158      26.354158      71.208935    
      1600  -19648.844      0.0068566846   0.14690186    -0.31101653     49456.766      26.354015      26.354015      71.208549    
      1610  -19648.844      0.010978204    0.17561357     3.5071042      49456.206      26.353916      26.353916      71.20828     
      1620  -19648.844      0.0025854609   0.086622411   -4.5513198      49456.627      26.35399       26.35399       71.208482    
      1630  -19648.845      0.0076953333   0.12004987     0.90572016     49455.966      26.353873      26.353873      71.208165    
      1640  -19648.847      0.011969247    0.17535755    -0.22177046     49454.753      26.353658      26.353658      71.207583    
      1650  -19648.847      0.011188319    0.17211961    -0.6982328      49454.546      26.353621      26.353621      71.207483    
