# Time-averaged data for fix thermo_out
# TimeStep c_surf_temp
200200 303.952
200400 286.773
200600 286.395
200800 300.907
201000 302.22
201200 311.203
201400 306.93
201600 310.615
201800 311.88
202000 299.774
202200 297.619
202400 290.603
202600 295.742
202800 308.721
203000 296.228
203200 287.954
203400 307.368
203600 302.828
203800 297.356
204000 301.973
204200 291.628
204400 300.551
204600 300.709
204800 294.684
205000 286.859
205200 304.967
205400 297.38
205600 264.595
205800 303.273
206000 289.019
206200 279.308
206400 308.849
206600 312.039
206800 313.897
207000 300.076
207200 317.969
207400 314.076
207600 310.198
207800 304.112
208000 315.721
208200 305.863
208400 316.767
208600 297.484
208800 296.255
209000 294.359
209200 299.341
209400 286.631
209600 286.064
209800 309.915
210000 311.235
210200 303.611
210400 297.77
210600 304.179
210800 303.855
211000 318.319
211200 283.805
211400 309.197
211600 298.315
211800 321.179
212000 301.953
212200 298.765
212400 290.233
212600 334.772
212800 287.718
213000 313.413
213200 303.922
213400 320.431
213600 314.331
213800 305.668
214000 313.107
214200 279.03
214400 300.325
214600 305.617
214800 299.926
215000 294.176
215200 294.913
215400 313.924
215600 325.183
215800 316.893
216000 308.502
216200 306.173
216400 315.287
216600 295.735
216800 311.157
217000 298.134
217200 300.411
217400 322.357
217600 294.881
217800 304.983
218000 302.477
218200 322.458
218400 297.191
218600 298.286
218800 314.454
219000 301.815
219200 294.512
219400 300.477
219600 294.664
219800 309.211
220000 279.915
220200 292.784
