# Hastelloy N H MSD — Notebook 11
# columns: t_ps  MSD_300K  MSD_400K  MSD_600K  MSD_800K  (Å²)
# t_ps  MSD_300K  MSD_400K  MSD_600K  MSD_800K
1.090000000000000000e+02 6.719582449917381739e-01 5.832738815386593334e-01 1.581553630726578286e+00 3.807855184112649027e+01
1.095000000000000000e+02 6.744710832359593899e-01 5.825802662138065413e-01 1.590191672437051507e+00 3.827405040741378883e+01
1.100000000000000000e+02 6.733816593631537506e-01 5.849353523326307203e-01 1.589674668176892736e+00 3.839704255258698140e+01
1.105000000000000000e+02 6.659123797232812114e-01 5.867753574453906662e-01 1.593197765101406205e+00 3.851184540620351981e+01
1.110000000000000000e+02 6.758057643523847080e-01 5.831227704519937882e-01 1.597335019679906098e+00 3.864211128665633765e+01
1.115000000000000000e+02 6.756214763971049031e-01 5.885843284288733157e-01 1.606128507016510110e+00 3.872859269699632989e+01
1.120000000000000000e+02 6.701418938695379302e-01 5.866248351950665851e-01 1.608924343284651615e+00 3.877017511226653568e+01
1.125000000000000000e+02 6.746893147027428483e-01 5.881471296693572270e-01 1.616026168711677036e+00 3.889535133995750016e+01
1.130000000000000000e+02 6.716884430871371547e-01 5.878158665773333125e-01 1.619462547364470595e+00 3.903756532207888341e+01
1.135000000000000000e+02 6.670728865788853046e-01 5.848174669372842027e-01 1.633599155433751893e+00 3.923052274961526820e+01
1.140000000000000000e+02 6.594082012520031677e-01 5.861814963645719523e-01 1.633037270743597835e+00 3.938431865809515386e+01
1.145000000000000000e+02 6.651100241686319636e-01 5.899734148239779152e-01 1.642783645194182629e+00 3.948513277676656941e+01
1.150000000000000000e+02 6.618835322843430458e-01 5.869424780944925146e-01 1.650114006611250961e+00 3.961515854356429855e+01
1.155000000000000000e+02 6.610532619681889210e-01 5.882192793701573885e-01 1.648219702193149949e+00 3.972811269382764010e+01
1.160000000000000000e+02 6.621377069449959629e-01 5.885420639433409651e-01 1.660455085603861569e+00 3.977466028466253789e+01
1.165000000000000000e+02 6.636805419424288699e-01 5.929831459354100165e-01 1.666742254734069562e+00 3.981990935291172917e+01
1.170000000000000000e+02 6.595648257883977017e-01 5.923509639416730810e-01 1.671776967165114369e+00 3.988055277897112205e+01
1.175000000000000000e+02 6.613613468364928361e-01 5.897343960443126587e-01 1.677660946178989088e+00 3.988778649706458879e+01
1.180000000000000000e+02 6.605427525571541114e-01 5.888720876000790305e-01 1.686560536955336032e+00 3.997532286245048994e+01
1.185000000000000000e+02 6.595136391729429226e-01 5.911186175238133389e-01 1.692907062129667572e+00 4.002323117328894853e+01
1.190000000000000000e+02 6.602662596180521870e-01 5.940791599636580100e-01 1.702214032635470886e+00 4.009431369651398569e+01
1.195000000000000000e+02 6.611205934937400830e-01 5.901491695056260145e-01 1.710320674875990710e+00 4.020925704878112583e+01
1.200000000000000000e+02 6.647289180019824162e-01 5.926277531007929644e-01 1.719039509886756578e+00 4.026876326461890443e+01
1.205000000000000000e+02 6.591133213501586541e-01 5.879849351969047566e-01 1.716506163804920826e+00 4.031825857564870574e+01
1.210000000000000000e+02 6.568219932678315276e-01 5.915024887403493858e-01 1.729803645481731822e+00 4.036732504490515083e+01
1.215000000000000000e+02 6.598976936600953191e-01 5.909585912910173544e-01 1.735765623937122415e+00 4.042287098396194978e+01
1.220000000000000000e+02 6.663610911037390894e-01 5.882476870836118588e-01 1.743208842725059604e+00 4.048952059322662222e+01
1.225000000000000000e+02 6.636440662453820805e-01 5.959389910128184420e-01 1.753271835370461940e+00 4.064471751010855627e+01
1.230000000000000000e+02 6.600873762108364629e-01 5.900878375411156007e-01 1.745669014965099519e+00 4.071283841935357373e+01
