Job: 7873891  |  Node: d1029  |  Thu Jun 25 04:06:35 PM EDT 2026
No restart file found -- starting fresh.
LAMMPS (11 Feb 2026 - Development - patch_11Feb2026-99-gb75dfcc930-modified)
W0625 16:07:25.840000 1925552 site-packages/torch/fx/_symbolic_trace.py:56] is_fx_tracing will return true for both fx.symbolic_trace and torch.export. Please use is_fx_tracing_symbolic_tracing() for specifically fx.symbolic_trace or torch.compiler.is_compiling() for specifically torch.export/compile.
KOKKOS mode with Kokkos version 5.0.2 is enabled
  using double precision
  using view layout = legacy
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0.051377743 0.051377743 0.051377743) to (17.911841 17.911841 17.911841)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  501 atoms
  reading velocities ...
  501 velocities
  read_data CPU = 0.104 seconds
1 atoms in group H_atom
500 atoms in group metal
### Phase 1: Equilibration 1000 ps at 400 K ###

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- KOKKOS package: https://doi.org/10.1145/3731599.3767498
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 8, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mliap/kk, perpetual
      attributes: full, newton on, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 113.3 | 113.3 | 113.3 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press          Volume    
    104000   371.22575     -3233.1808      23.992347     -3209.1885      27403.787      5697.4192    
    105000   395.91631     -3232.211       25.5881       -3206.6229      26124.071      5697.4192    
    106000   391.5096      -3230.9248      25.303294     -3205.6215      25890.661      5697.4192    
    107000   391.79287     -3231.7302      25.321602     -3206.4086      28663.886      5697.4192    
    108000   408.96398     -3234.0778      26.431372     -3207.6464      24112.269      5697.4192    
    109000   403.07427     -3232.9661      26.050719     -3206.9154      25992.211      5697.4192    
    110000   394.03579     -3231.3546      25.466561     -3205.8881      26909.241      5697.4192    
    111000   385.09847     -3232.6839      24.888942     -3207.795       25715.303      5697.4192    
    112000   395.45179     -3234.8551      25.558078     -3209.297       25072.686      5697.4192    
    113000   394.70091     -3233.3041      25.509548     -3207.7946      27834.723      5697.4192    
    114000   402.13997     -3232.9987      25.990335     -3207.0084      26549.124      5697.4192    
    115000   409.0301      -3230.8348      26.435645     -3204.3992      29077.039      5697.4192    
    116000   423.90196     -3231.3441      27.396814     -3203.9473      28696.694      5697.4192    
    117000   423.83499     -3233.333       27.392486     -3205.9405      25599.141      5697.4192    
    118000   395.93511     -3233.2949      25.589315     -3207.7056      25476.065      5697.4192    
    119000   406.7679      -3233.2152      26.289439     -3206.9258      24820.207      5697.4192    
    120000   418.30081     -3231.6432      27.034812     -3204.6084      27243.661      5697.4192    
    121000   414.10236     -3231.6067      26.763466     -3204.8432      28821.01       5697.4192    
    122000   391.62375     -3233.2058      25.310672     -3207.8951      23679.31       5697.4192    
    123000   383.86197     -3232.4674      24.809027     -3207.6584      28235.315      5697.4192    
    124000   396.99527     -3232.4068      25.657833     -3206.7489      26387.484      5697.4192    
    125000   414.15689     -3232.0878      26.76699      -3205.3208      25401.424      5697.4192    
    126000   408.43369     -3232.0991      26.397099     -3205.702       27427.554      5697.4192    
    127000   400.41355     -3233.1913      25.878757     -3207.3125      27915.839      5697.4192    
